year,fire_number,fire_start_date,start_month,start_doy,latitude,longitude,fire_origin,general_cause,grid_id_30000m
2022,LWF083,2022-05-20 13:20:00,5.0,140.0,55.92455,-110.717867,Indian Reservation,Incendiary,"169,79"
2022,EWF042,2022-05-20 14:40:00,5.0,140.0,53.628167,-115.517333,Provincial Land,Undetermined,"156,74"
2022,CWF023,2022-05-21 06:00:00,5.0,141.0,51.388883,-114.675717,Private Land,Resident,"155,66"
2022,CWF025,2022-05-22 12:00:00,5.0,142.0,50.237,-114.368,Provincial Land,Recreation,"155,62"
2022,WWF015,2022-05-22 13:00:00,5.0,142.0,54.162198,-116.211161,Provincial Land,Recreation,"156,76"
2022,LWF088,2022-05-22 18:30:00,5.0,142.0,54.768583,-113.578883,Private Land,Recreation,"162,77"
2022,CWF047,2022-05-23 06:00:00,5.0,143.0,51.609767,-115.169867,Provincial Land,Recreation,"155,67"
2022,CWF048,2022-05-23 06:00:00,5.0,143.0,51.277885,-115.014625,Provincial Land,Recreation,"154,66"
2022,HWF037,2022-06-25 15:03:00,6.0,176.0,58.820667,-115.111283,Provincial Land,Lightning,"164,91"
2022,GWF026,2022-07-05 13:15:00,7.0,186.0,55.472917,-119.056217,Provincial Land,Oil & Gas Industry,"152,83"
2022,PWF035,2022-07-05 18:15:00,7.0,186.0,56.5358,-116.787283,Provincial Land,Lightning,"158,85"
2022,GWF027,2022-07-06 13:30:00,7.0,187.0,54.65095,-118.933467,Provincial Land,Other Industry,"151,80"
2022,HWF047,2022-07-06 16:00:00,7.0,187.0,58.6984,-119.2912,Provincial Land,Lightning,"157,94"
2022,HWF048,2022-07-06 16:10:00,7.0,187.0,58.713767,-119.322717,Provincial Land,Lightning,"157,94"
2022,SWF052,2022-07-08 15:00:00,7.0,189.0,57.225583,-115.353233,Provincial Land,Lightning,"162,86"
2022,PWF039,2022-07-08 15:30:00,7.0,189.0,57.582,-118.125,Provincial Land,Lightning,"157,89"
2022,SWF053,2022-07-08 15:35:00,7.0,189.0,56.46455,-113.0727,Provincial Land,Lightning,"165,82"
2022,PWF040,2022-07-08 17:25:00,7.0,189.0,57.66,-117.92545,Provincial Land,Lightning,"157,90"
2022,MWF040,2022-07-08 22:53:00,7.0,189.0,57.414133,-111.560283,Provincial Land,Lightning,"169,84"
2022,MWF041,2022-07-09 16:30:00,7.0,190.0,59.091583,-110.970055,Provincial Land,Lightning,"172,90"
2022,PWF041,2022-07-09 17:00:00,7.0,190.0,56.756417,-117.632883,Private Land,Agriculture Industry,"157,86"
2022,MWF049,2022-07-14 13:33:00,7.0,195.0,56.90495,-111.631117,Provincial Land,Lightning,"168,83"
2022,MWF050,2022-07-15 17:55:00,7.0,196.0,58.714,-111.186667,Provincial Land,Resident,"171,89"
2022,SWF063,2022-07-15 19:49:00,7.0,196.0,55.6845,-114.8825,Provincial Land,Lightning,"160,81"
2022,SWF066,2022-07-16 12:26:00,7.0,197.0,56.98415,-115.3534,Provincial Land,Lightning,"161,85"
2022,HWF061,2022-07-16 13:10:00,7.0,197.0,59.27325,-119.6668,Provincial Land,Lightning,"157,96"
2022,WWF038,2022-07-15 22:37:00,7.0,196.0,54.462022,-116.310803,Provincial Land,Lightning,"156,78"
2022,SWF072,2022-07-16 15:19:00,7.0,197.0,56.796817,-113.339133,Provincial Land,Lightning,"165,83"
2022,HWF065,2022-07-16 17:25:00,7.0,197.0,57.738383,-114.376283,Provincial Land,Lightning,"164,87"
