system:index,grid_m,lat,lon,month,orbit_pass,s1_platform,s1_scenes_in_month,slope_max_deg,vv_db_thresh,water_frac,x_idx,y_idx,year,ym,.geo
0_0,30000,52.10159673710142,-117.40815455704802,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,30000,52.20734520139947,-116.99963638331744,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,30000,52.311505756254896,-116.58891787321416,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,30000,52.41406362710366,-116.17601572764892,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,30000,53.08587458384351,-113.22615587533879,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,30000,53.17509216326325,-112.79649728128005,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,30000,52.352439512601634,-117.58226888824623,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,30000,52.458950151741966,-117.1715837603088,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,30000,52.56386468909943,-116.75865779499183,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,30000,52.66716811913094,-116.34350769123394,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,30000,52.60317135958741,-117.7586399806141,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,30000,52.71045173248939,-117.34577212936695,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,30000,52.81612780426741,-116.93062201161017,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,30000,53.60197441351149,-113.5294665635097,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,30000,52.85378245083254,-117.9373092308009,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,30000,52.96184022206535,-117.522242923646,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,30000,53.06828548764293,-117.10485196858394,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,30000,52.76816819377785,-119.35580095112637,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,30000,52.88177809669702,-118.94571433661078,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,30000,52.99381495113538,-118.53321579118975,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,30000,53.10426279439886,-118.11831897622909,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,30000,53.21310573584495,-117.70103852867418,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,30000,52.90009134683862,-119.95533376849434,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,30000,53.01608169365161,-119.54561848144124,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,30000,53.13050779314373,-119.13343464452662,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,30000,53.243353374368105,-118.7187948110295,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,30000,53.26382002930297,-119.73790472317289,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,30000,53.37907028660024,-119.32361111319389,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,30000,53.4927325704762,-118.9068164559419,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29,30000,53.51137236821777,-119.93270456841087,1,ALL,A,42,10,-17,0.09352151621391884,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,30000,53.62745484977901,-119.51628879733434,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,30000,53.87565057154578,-119.71151376096302,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32,30000,54.12364635257429,-119.90933310213059,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,30000,56.64451745330842,-111.26052138401275,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34,30000,57.17023319594705,-111.56547764278571,1,ALL,A,42,10,-17,0.0,0,0,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,30000,49.284646140761865,-116.93460285017092,2,ALL,A,52,10,-17,0.0,0,0,2020,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,30000,52.10159673710142,-117.40815455704802,2,ALL,A,52,10,-17,0.0,0,0,2020,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,30000,52.20734520139947,-116.99963638331744,2,ALL,A,52,10,-17,0.0,0,0,2020,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,30000,52.311505756254896,-116.58891787321416,2,ALL,A,52,10,-17,0.0,0,0,2020,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,30000,52.41406362710366,-116.17601572764892,2,ALL,A,52,10,-17,0.0,0,0,2020,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
